text,location,phase
shaolinmumbai proud become fitness partner versathon–an initiative towards social upliftment organised versadawn working towards 10 social causes running amp cycling date 18jul 16aug venue home http bit ly versathon generous fitfitness running cycling home generous fit,mumbai,2
classic example hindus selective media never take case logical end feel sorry common man keeping issues alive writing social media,mumbai,2
mean urdu good kotha songs every language vocubalary represent particular era social ambience culture urdu evolved darbar muzara parasitic aiyyashi peak,mumbai,2
shame several videos hate speeches social media,delhi,2
case social monopoly dadagiri bollywood goons jokes makes fun frustrate talent nation suffering families gandhi family khan family kapoor family,delhi,2
sincerely seek wsy bjp authoritarian fascist tendencies destroyed social fabric democratic institutions rbi n banks economy denied justice thru compromised judiciary n media yet ignorant masses n hate filled bigots dont understand,delhi,2
rajasthanpoliticalcrisis meaning sachinpilots tweet truth may upset defeated social media scindia also wrote similar line away congress yesterday rae bareli mla aditi singh also wrote similar line,delhi,2
politics basically social service perform social service need ideology leads better performing path want go,delhi,2
tennis twitter happens colony ki gossip aunty decides use social media,kolkata,2
cant see social distance n mask sir highly request toh follow guide line modi ji,kolkata,2
covid 19 lockdown ruin us strengthen social distancing rules enact public health prevention control management epidemics bio terrorism disasters bill 2017 state govs consultation narendramodicovid 19,kolkata,2
right j folded hands folded hands folded hands,kolkata,2
1st step safe platform support truth help creators ngos instagram exact opposite deleted youth rape say anything guys decide social media platforms prefer reviewyarpagereviewyarpage,kolkata,2
rbi bring disaster economy fd dependent retirees simply perish interest rate alone cant create demand amp revive economy lets hide fact parraell economy support job creation amp supported economy new approach required revival,chennai,2
’ pretty good job reducing manpower cost without,chennai,2
proud u mam u r really lady singham wonderful job wonder जय हिंद handshake folded hands,chennai,2
hiring active directory l2 l3 support please share cv connect hiral rughani wipro com information skill ad adfs azure ad exp 6 15yrs job location hydrabad kolkatahiring,chennai,2
good job mamataofficial great law amp order wb murders common aitcofficial folks wb award must given best state highest political murders winner didi mamataofficial ok hand clapping hands clapping hands clapping hands clapping hands thumbs,chennai,2
feel sorry jhasanjay pilot u left ur creamy job congress wrong,bangalore,2
come make sit person like razak job less state karnataka prime time ninnavvan vadrassackpilotvadrassackpilot,bangalore,2
emotional intelligence critical thinking two competencies ensure humans dont lose jobs,bangalore,2
bangaloremirror nimmasuresh thought relaxation school fees pandemic schools pushing fees facing job losses wake govt,bangalore,2
munishmudgil sir different kind officer always committed job,bangalore,2
hurts breakup thinking face 1 unemployed 2 low bank balance 3 misunderstandings 4 ignored best friends 5 failed education 6 seen reply 7 last day clg job 8 failed meet parent expectations breakup nothng infrnt thse incidnts love breakuplove breakup,hyderabad,2
good job sir thumbs,hyderabad,2
sir please open international flights atlst ucan open one week people u carried valid residency proof people wating seprated families high risk jobs return second home land,hyderabad,2
loving man good job clapping hands,hyderabad,2
hello sir please help us us flight hyderabad dubai dubai hyderabad like also trouble seperated families n job risk please help n start evacuation flights hyderabd aur hyderabad uae,hyderabad,2
tidious job,mumbai,2
job done chelsea 3 points could get easuly though remaining two fixtures interesting liverpool wolves,mumbai,2
job art chase ugliness away bono,mumbai,2
wonderfull job salute doctor https shrts gr6r,mumbai,2
